0,1,2,3,4
Manuel María Gálvez Egúsquiza,,Eduardo López de Romaña,8 de septiembre de 1899,14 de diciembre de 1899
Enrique de la Riva Agüero,Partido Civil,,14 de diciembre de 1899,30 de agosto de 1900
Enrique Coronel-Zegarra Castro,Partido Demócrata,,30 de agosto de 1900,2 de octubre de 1900
Domingo M. Almenara Butler,,,2 de octubre de 1900,11 de septiembre de 1901
Cesáreo Chacaltana Reyes,Partido Civil,,11 de septiembre de 1901,9 de agosto de 1902
Alejandro Deustua Escarza,,,9 de agosto de 1902,4 de noviembre de 1902
Eugenio Larrabure y Unanue,,,4 de noviembre de 1902,8 de septiembre de 1903
José Pardo y Barreda,Partido Civil,Manuel Candamo Iriarte,8 de septiembre de 1903,18 de abril de 1904 14 de mayo de 1904
José Pardo y Barreda (continuación),Partido Civil,Serapio Calderón Chirinos,18 de abril de 1904,14 de mayo de 1904
Alberto Elmore Fernández,,,14 de mayo de 1904,24 de septiembre de 1904
Augusto Leguía,Partido Civil,José Pardo y Barreda (1.º gob.),24 de septiembre de 1904,1 de agosto de 1907
Agustín Tovar Aguilar,,,1 de agosto de 1907,9 de octubre de 1907
Carlos Alberto Washburn Salas,,,9 de octubre de 1907,24 de septiembre de 1908
Eulogio I. Romero Salcedo,,Augusto Leguía,24 de septiembre de 1908,8 de junio de 1909
Rafael Villanueva Cortez,,,8 de junio de 1909,14 de marzo de 1910
Javier Prado y Ugarteche,Partido Civil,,14 de marzo de 1910,3 de agosto de 1910
Germán Schreiber Waddington,Partido Civil,,3 de agosto de 1910,21 de octubre de 1910
José Salvador Cavero Ovalle,Partido Constitucional,,3 de noviembre de 1910,27 de diciembre de 1910
Enrique C. Basadre Stevenson,,,27 de diciembre de 1910,31 de agosto de 1911
Agustín Guillermo Ganoza y Cavero,Partido Civil,,31 de agosto de 1911,24 de septiembre de 1912
Elías Malpartida Franco,Partido Demócrata,Guillermo Billinghurst Angulo,24 de septiembre de 1912,23 de diciembre de 1912
Enrique Varela Vidaurre,Militar,,24 de diciembre de 1912,24 de febrero de 1913
Federico Luna y Peralta,,,24 de febrero de 1913,17 de junio de 1913
Aurelio Sousa y Matute,,,17 de junio de 1913,27 de julio de 1913
Enrique Varela Vidaurre,Militar,,27 de julio de 1913,4 de febrero de 1914
Pedro E. Muñiz Sevilla,Militar,Óscar R. Benavides (1.º gob.),16 de mayo de 1914,1 de agosto de 1914
