,Titular,Partido,Gobierno,Inicio,Fin,duracion
0,José María Raygada y Gallo,Militar,Ramón Castilla (2.º gob.),14 de febrero de 1857,13 de mayo de 1858,
1,Manuel Ortiz de Zevallos y García,,,13 de mayo de 1858,13 de julio de 1858,
2,Miguel de San Román y Meza,Militar,,13 de julio de 1858,24 de octubre de 1858,
3,Miguel del Carpio y Melgar,,,28 de octubre de 1858,9 de junio de 1860,
4,Juan Antonio Pezet Rodríguez,Militar,,9 de junio de 1860,1 de enero de 1862,
5,Juan Antonio Ribeyro Estada,,,1 de enero de 1862,24 de octubre de 1862,
6,José Gregorio Paz Soldán y Ureta,,Miguel de San Román,24 de octubre de 1862,3 de abril de 1863,
7,Juan Antonio Ribeyro Estada,,Pedro Diez Canseco,10 de abril de 1863,5 de agosto de 1863,
8,Juan Antonio Ribeyro Estada,,Juan Antonio Pezet,5 de agosto de 1863,11 de agosto de 1864,
9,Manuel Costas Arce,,,11 de agosto de 1864,14 de octubre de 1864,
10,José Allende,Militar,,14 de octubre de 1864,3 de abril de 1865,
11,Manuel Ignacio de Vivanco,Militar,,3 de abril de 1865,12 de julio de 1865,
12,Pedro José Calderón,,,12 de julio de 1865,6 de noviembre de 1865,
13,Juan Antonio Ugarteche Posadas[2]​,Militar,Pedro Diez Canseco,26 de septiembre de 1865,6 de noviembre de 1865,
14,Francisco Javier Mariátegui,,,6 de noviembre de 1865,28 de noviembre de 1865,
15,Mariano Ignacio Prado Ochoa[3]​,Militar,Mariano Ignacio Prado (1.º gob.),26 de noviembre de 1865,15 de febrero de 1867,
16,Pedro José Tordoya[4]​,Clérigo,,2 de marzo de 1867,26 de abril de 1867,
17,Pedro Paz Soldán y Ureta,,,3 de junio de 1867,1 de septiembre de 1867,
18,Luis La Puerta[5]​,Militar,,septiembre de 1867,12 de octubre de 1867,
19,Pedro Paz Soldán y Ureta,,,12 de octubre de 1868,8 de enero de 1868,
20,Antonio Arenas Merino,,Pedro Diez Canseco,22 de enero de 1868,7 de febrero de 1868,
21,Antonio Gutiérrez de la Fuente,Militar,,7 de febrero de 1868,2 de agosto de 1868,
22,Pedro Gálvez Egúsquiza,,José Balta,2 de agosto de 1868,13 de abril de 1869,
23,Juan Francisco Balta,Militar,,13 de abril de 1869,1 de agosto de 1871,
24,José Allende,Militar,,2 de agosto de 1871,7 de diciembre de 1871,
25,José Jorge Loayza,,,7 de diciembre de 1871,25 de julio de 1872,
26,Juan Antonio Ribeyro Estada,,Mariano Herencia Zevallos,27 de julio de 1872,2 de agosto de 1872,
27,José Miguel Medina Elera,Militar,Manuel Pardo y Lavalle,2 de agosto de 1872,3 de septiembre de 1873,
28,José Eusebio Sánchez,,,3 de septiembre de 1873,1 de febrero de 1875,
29,Nicolás Freire González,,,1 de febrero de 1875,2 de agosto de 1876,
30,Antonio Arenas Merino,,Mariano Ignacio Prado (2.º gob.),2 de agosto de 1876,26 de agosto de 1876,
31,Teodoro La Rosa,,,26 de agosto de 1876,1 de junio de 1877,
32,Juan Buendía y Noriega,Militar,,4 de junio de 1877,13 de mayo de 1878,
33,José Jorge Loayza,,,18 de junio de 1878,16 de diciembre de 1878,
34,Manuel Yrigoyen Arias,,,17 de diciembre de 1878,19 de mayo de 1879,
35,Manuel de Mendiburu Bonet,Militar,,19 de mayo de 1879,16 de octubre de 1879,
36,Manuel González de la Cotera,Militar,,16 de octubre de 1879,23 de diciembre de 1879,
37,Aurelio Denegri Valega,Partido Civil,Francisco García Calderón Landa,12 de marzo de 1881,18 de julio de 1881,
38,Camilo N. Carrillo Martínez,Marino,,18 de julio de 1881,6 de noviembre de 1881,
39,Aurelio García y García,Marino,Nicolás de Piérola (provisorio),30 de octubre de 1881,28 de noviembre de 1881,
40,Juan Manuel Arbaiza,,Lizardo Montero Flores,4 de enero de 1882,4 de septiembre de 1882,
41,Camilo N. Carrillo Martínez,Marino,,4 de septiembre de 1882,enero de 1883,
42,Manuel Velarde Seoane,Militar,,enero de 1883,abril de 1883,
43,Mariano Nicolás Valcárcel,,,abril de 1883,octubre de 1883,
44,Lorenzo Iglesias Pino de Arce,,Miguel Iglesias,3 de enero de 1883,27 de agosto de 1883,
45,Manuel Antonio Barinaga,,,27 de agosto de 1883,7 de abril de 1884,
46,Mariano Castro Zaldívar,,,7 de abril de 1884,14 de mayo de 1885,
47,José Joaquín Iglesias Pino de Arce,Militar,,14 de mayo de 1885,3 de diciembre de 1885,
48,Antonio Arenas Merino[6]​,,Consejo de Ministros,3 de diciembre de 1885,3 de junio de 1886,
49,Pedro Alejandrino del Solar Gabas,Partido Constitucional,Andrés Avelino Cáceres (1.º gob.),3 de junio de 1886,6 de octubre de 1886,
50,José Nicolás de Araníbar y Llano,,,6 de octubre de 1886,20 de noviembre de 1886,
51,Pedro Alejandrino del Solar Gabas,Partido Constitucional,,22 de noviembre de 1886,22 de agosto de 1887,
52,Mariano Santos Álvarez Villegas,,,22 de agosto de 1887,12 de septiembre de 1887,
53,Carlos María Elías de la Quintana,Partido Constitucional,,12 de septiembre de 1887,5 de octubre de 1887,
54,Raymundo Morales Arias (interino),,,4 de octubre de 1887,8 de noviembre de 1887,
55,Aurelio Denegri Valega,,,8 de noviembre de 1887,8 de marzo de 1889,
56,José Mariano Jiménez Wald,,,8 de marzo de 1889,3 de abril de 1889,
57,Pedro Alejandrino del Solar Gabas,Partido Constitucional,,4 de abril de 1889,10 de febrero de 1890,
58,Manuel Yrigoyen Arias,,,11 de febrero de 1890,10 de agosto de 1890,
